２【沿革】
昭和28年４月　　地質調査、基礎工事を主たる目的として北海道札幌市に八千代地下工業株式会社を設立
昭和32年１月　　本店を東京都港区に移転
昭和34年12月　　商号を日本特殊土木工業株式会社に変更
昭和36年12月　　本店を東京都千代田区に移転
昭和37年12月　　株式額面金額変更のため、日本特殊土木工業株式会社（昭和22年12月設立の株式会社光商会の商号及び営業目的を変更）に吸収合併
昭和38年２月　　建設コンサルタント部門を独立し、東京工務エンジニアリング株式会社（株式会社日本パブリック）を設立
昭和40年３月　　本店を東京都中央区に移転
昭和47年５月　　商号を日特建設株式会社に変更
昭和47年10月　　建設大臣許可（特－47）第211号を受ける
昭和54年12月　　緑興産株式会社を設立（現・連結子会社）
昭和58年12月　　東京証券取引所市場第二部へ上場
昭和60年４月　　日特不動産株式会社を設立
昭和60年９月　　東京証券取引所市場第一部へ上場
昭和60年10月　　株式会社日特リース情報センター（株式会社ハイテクリースに改称）を設立
平成２年５月　　ドーム建設工業株式会社を設立（非連結子会社）
平成２年６月　　明石町分室ビル完成
平成13年３月　　日特不動産株式会社（連結子会社）を清算
平成15年11月　　株式会社日本パブリック（連結子会社）を清算
平成16年10月　　島根アースエンジニアリング株式会社を設立（現・連結子会社）
平成21年３月　　株式会社ハイテクリース（連結子会社）を清算
平成22年５月　　宅地建物取引業の許可、東京都知事免許(1)91766号取得
平成22年９月　　ドーム建設工業株式会社（非連結子会社）を清算
平成25年12月　　山口アースエンジニアリング株式会社を設立（現・連結子会社）
平成27年９月　　明石町分室ビルを売却
平成28年３月　　PT NITTOC CONSTRUCTION INDONESIAを設立（現・連結子会社）
 
