２【沿革】
昭和４年３月　　舗装工事業を主な目的に日本ビチュマルス鋪装工業株式会社として創業
昭和７年２月　　日本道路鋪装株式会社と改称
昭和22年６月　　日本道路株式会社と改称
昭和23年３月　　大阪支店開設（現　関西支店）
昭和24年10月　　建設大臣登録(イ）第85号、以来２カ年毎に更新登録
昭和31年２月　　北海道支店開設
昭和34年５月　　広島支店開設（現　中国支店）
昭和36年６月　　仙台支店開設（現　東北支店）
昭和36年10月　　東京証券取引所市場第二部上場
昭和38年10月　　総合工事業者登録、建設大臣(ヌ）第85号、以来２カ年毎に更新登録
昭和39年１月　　名古屋支店開設（現　中部支店）
昭和39年１月　　九州支店開設
昭和40年６月　　建設コンサルタント登録第40-303号、以来３カ年毎に更新登録
昭和42年１月　　北陸支店開設（現　北信越支店）
昭和42年６月　　東京支店開設
昭和46年７月　　四国支店開設
昭和46年８月　　東京証券取引所市場第一部指定替
昭和46年10月　　大阪証券取引所市場第一部上場
昭和48年５月　　宅地建物取引業免許、建設大臣免許(1）第1516号、以来３カ年毎に更新
昭和49年１月　　建設大臣許可（特－48）第2770号、以来３カ年毎に更新許可
昭和51年１月　　東京証券取引所貸借銘柄指定
昭和60年７月　　エヌ・ディー・リースアンドサービス株式会社を設立
昭和61年１月　　エヌディック株式会社（現　連結子会社）を設立
昭和61年４月　　北関東支店開設
昭和61年12月　　スポーツメディア株式会社（現　連結子会社）を設立
昭和63年３月　　千葉県植木造園株式会社の株式取得（現　環境緑化株式会社、現　連結子会社）
平成元年４月　　タイニッポンロード社（現　連結子会社）を設立
平成元年８月　　ニッポンロード（マレーシア）社（現　連結子会社）を設立
平成２年９月　　大阪証券取引所貸借銘柄指定
平成４年４月　　株式会社モノリスコーポレーションを設立
平成６年10月　　建設コンサルタント登録（建６第303号）、以来５カ年毎に更新登録
平成７年１月　　建設大臣許可（特－６）第2770号、以来５カ年毎に更新許可
平成15年11月　　測量業者登録 第（１）－29031号、以来５カ年毎に更新登録
平成16年９月　　大阪証券取引所での株式の上場廃止
平成20年４月　　エヌ・ディー・リースアンドサービス株式会社と株式会社モノリスコーポレーションは合併し、エヌディーリース・システム株式会社（現　連結子会社）に商号変更
 
