 
２ 【沿革】
昭和26年３月　　朝日放送㈱設立(大阪市北区)、資本金１億円。
昭和26年11月　　ラジオ本放送開始。
昭和30年５月　　大阪テレビ放送㈱設立(大阪市北区)、資本金５億円。
昭和31年12月　　大阪テレビ放送㈱、本放送開始。
昭和33年４月　　朝日放送㈱社屋、新朝日ビル(大阪市北区)に移転。
昭和34年６月　　朝日放送㈱・大阪テレビ放送㈱両社合併、資本金10億円。
昭和36年10月　　大阪証券取引所市場第二部に株式上場。
昭和39年４月　　資本金15億円に増資。
昭和41年６月　　大阪市大淀区に社屋移転。
昭和44年10月　　㈱朝日ミュージックサービス設立。
昭和44年10月　　㈱朝日音楽出版設立。
昭和46年４月　　資本金18億円に増資。
昭和50年３月　　テレビネットワーク系列をＪＮＮ（ＴＢＳ系列）からＡＮＮ（ＮＥＴ（現テレビ朝日）系列）へ変更。
昭和50年12月　　エー・ビー・シー会館竣工(東京都港区)、東京支社移転。
昭和53年11月　　ラジオ放送の周波数を1010キロヘルツから1008キロヘルツに変更。
昭和55年１月　　㈱ＡＢＣゴルフ倶楽部（平成15年６月社名変更、旧社名エー・ビー・シー企業㈱）設立(現・連結子会社)。
昭和57年９月　　日本初のクラシック音楽専用ホール「ザ・シンフォニーホール」竣工。
平成元年２月　　合区により大阪市大淀区から大阪市北区に区名変更。
平成２年２月　　㈱スカイ・エー(平成13年９月社名変更、旧社名㈱サテライトエー・ビー・シー)設立(現・連結子会社)。
平成２年４月　　㈱エー・ビー・シーリブラ(平成12年４月社名変更、旧社名㈱エー・ビー・シーアーカイブ)設立(現・連結子会社)。
平成10年４月　　㈱朝日ミュージックサービス、㈱朝日音楽出版の両社は合併し、㈱エー・ビー・シーメディアコムと改称(現・連結子会社)。
平成15年12月　　地上デジタルテレビ放送開始。
平成16年３月　　本社移転、新社屋建設計画に伴い、新社屋用地(大阪市福島区)を取得、大阪市北区の本社土地・建物等を売却。
　　　　　　　　東京支社移転計画に伴い、東京支社ビル(エー・ビー・シー会館)の土地・建物等を売却。
平成17年10月　　東京支社を朝日新聞新館(東京都中央区)に移転。
平成17年12月　　第三者割当による新株式発行により資本金52億円に増資。
平成19年４月　　エー・ビー・シー開発㈱の株式を追加取得し子会社化（現・連結子会社）。
平成20年１月　　大阪市福島区の新社屋竣工。
平成20年４月　　㈱スカイ・エーの株式を追加取得し子会社化。
平成20年６月　　新社屋に移転。
平成25年７月　　東京証券取引所と大阪証券取引所の市場統合により東京証券取引所市場第二部上場に移行。
平成26年10月　　東京証券取引所市場第一部銘柄に指定。
平成27年７月　　ＡＢＣドリームベンチャーズ㈱設立。
平成28年３月　　ＦＭ補完放送の本放送開始。
平成28年４月　　㈱ＡＢＣフロンティアホールディングス、㈱ＡＢＣアニメーション、㈱ＡＢＣインターナショナ　ル、㈱ＡＢＣライツビジネス設立（いずれも現・連結子会社）。
平成28年12月　　ＡＢＣ ＨＯＲＩＺＯＮ ＰＴＥ.ＬＴＤ. 設立。
