 
２ 【沿革】
昭和27年12月23日　　　　株式会社筑邦銀行設立
昭和28年10月　　　　　　福岡支店開設(現・福岡営業部)
昭和49年１月　　　　　　東京事務所開設
昭和49年10月　　　　　　ウエスタンリース株式会社設立(現・ちくぎんリース株式会社・連結子会社)
昭和50年７月　　　　　　電算センター設置、同年９月よりオンライン処理開始
昭和53年11月　　　　　　総合オンラインシステム完成
昭和57年12月　　　　　　筑銀ビジネスサービス株式会社設立(現・連結子会社)
昭和60年10月　　　　　　筑邦信用保証株式会社設立(現・連結子会社)
昭和61年６月　　　　　　ディーリング業務開始
昭和61年12月　　　　　　外国為替業務開始
昭和62年10月　　　　　　当行株式を福岡証券取引所に上場
昭和63年１月　　　　　　ちくぎんコンピュータサービス株式会社設立
　　　　　　　　　　　　(現・株式会社ちくぎん地域経済研究所・連結子会社)
平成元年９月　　　　　　当行本店を久留米市諏訪野町に新築移転
平成２年６月　　　　　　担保附社債信託法に基づく受託業務開始
平成２年11月　　　　　　社債等登録法に基づく登録機関の指定
平成６年４月　　　　　　信託代理店業務開始
平成10年12月　　　　　　証券投資信託の窓口販売業務開始
平成11年12月　　　　　　第三者割当増資により当行の資本金35億円増資
　　　　　　　　　　　　新資本金80億円となる
平成13年４月　　　　　　損害保険商品の窓口販売業務開始
平成14年10月　　　　　　生命保険商品の窓口販売業務開始
平成22年１月　　　　　　新オンラインシステム「BankVision(バンクビジョン)」稼動
 
