 
２ 【沿革】
昭和25年12月    東京都板橋区前野町に当社設立、粉末冶金製品製造開始
27年４月    東京都板橋区小豆沢町に工場新設、操業開始
30年８月    名古屋市千種区に名古屋営業所を新設
35年11月    愛知県春日井市に春日井工場新設、操業開始
37年６月    東京証券取引所市場第二部に株式を上場
37年12月    埼玉県川口市に油圧ポンプの機器工場を新設、生産開始
42年５月    東京都豊島区に本社を移転
42年12月    川越工場新設、小豆沢工場を全面的に移転、操業開始
43年５月    油圧機器工場を川越工場に移転
62年４月    油圧機器工場、川越工場より埼玉県比企郡玉川村へ移転、操業開始
平成２年５月    岩手県江刺市（現・奥州市）に東北焼結金属㈱(現・ファインシンター東北㈱、現・連結子会社)                設立
４年３月    ㈱ティエスエンジニアリング(ファインシンターエンジニアリング㈱)設立
８年５月    タイファインシンター㈱(現・連結子会社)設立（合弁）
12年１月    春日井工場内に技術開発センターを設置
13年７月    アメリカンファインシンター㈱(現・連結子会社)設立
14年10月    日本粉末合金㈱と合併し現社名に変更
14年10月    ㈱三信(現ファインシンター三信㈱、現・連結子会社)を株式取得により子会社化
14年11月    大阪営業所を大阪府茨木市に移転
14年12月    名古屋営業所を愛知県豊田市に移転
14年12月    東京営業所を東京都千代田区に移転
15年１月    ISO14001全社認証取得
16年１月    ISO9001全社認証取得
16年６月    精密焼結合金(無錫)有限公司(現・連結子会社)設立(合弁)
17年７月    東京営業所を川越工場内に移転
19年７月    大阪営業所を山科工場内に移転
20年１月    愛知県春日井市明知町に新本社棟を建設、本社及び技術部門を集約
20年６月    本店登記を東京都豊島区から愛知県春日井市へ移転
21年４月    ISO/TS16949認証取得
21年８月    名古屋営業所を本社内に移転
22年３月    ファインシンターエンジニアリング㈱(非連結子会社) 清算
23年３月    ファインシンター三信㈱を株式取得により完全子会社化
24年９月    ファインシンターインドネシア㈱(現・連結子会社)設立
29年４月    名古屋証券取引所市場第二部に株式を上場
 
