２【沿革】
昭和１０年　６月　　中瀬鉱業㈱設立（本社大阪）・資本金３百万円
昭和１１年　２月　　天美鉱業㈱を吸収合併、社名を日本精鉱㈱と改称・資本金8百万円
昭和１１年１２月　　本社を東京に移転
昭和１８年　４月　　（金鉱業整備実施）中瀬鉱山アンチモン重要鉱山に指定
昭和１８年１２月　　中瀬鉱山、重要鉱物増産法に基づき三菱鉱業(株)へ経営を委任
昭和２１年　８月　　終戦により委任解除
昭和２１年１２月　　資本金４百万円に減資
昭和２３年１０月　　中瀬にアンチモン製錬所竣工・三酸化アンチモン及び金属アンチモンの販売開始
昭和２４年　４月　　資本金３千万円に増資
昭和２４年　９月　　東京証券取引所市場第二部へ株式上場
昭和２４年１０月　　資本金１億円に増資・大阪証券取引所市場第二部へ株式上場
昭和３２年１１月　　資本金１億４千９百万円に増資
昭和３９年１０月　　吹田アンチモニー工業㈱（旧日比野金属工業）を吸収合併・資本金１億７千５百万円
昭和４７年１２月　　資本金２億７千２百万円に増資
昭和４８年　８月　　資本金４億円に増資
昭和５１年１２月　　中瀬鉱業所、排煙脱硫装置・ペレタイザー造粒設備新設
昭和５２年１１月　　資本金４億４千万円に増資
昭和５２年１２月　　中瀬鉱業所、原料鉱石前処理設備完成
昭和５３年　１月　　資本金５億６百万円に増資
昭和５７年１０月　　アンチモン商品名を改訂、主力の三酸化アンチモンをＡＴＯＸ及びＰＡＴＯＸとする
ＰＡＴＯＸ－Ｌ及びＰＡＴＯＸ－Ｕの新製品を開発、販売開始
昭和６０年　６月　　中瀬製錬所、大型還元炉設備完成・会社創立５０周年
昭和６１年　４月　　同所、大型揮発炉設備完成
昭和６３年１０月　　資本金１０億１千８百万円に増資
平成　２年　５月　　無償株式 379,500株発行　発行済株式総数 13,029,500株
平成　３年　９月　　中瀬製錬所、転炉系製品自動包装設備・製品自動倉庫完成
平成　４年　３月　　同所、粉体２次加工設備完成
平成　８年　８月　　同所、アンチモン鉱石から金属アンチモンへ原料転換
平成　８年１０月　　同所、粉体加工工場新築・粗粒製品製造設備新設
平成　９年　３月　　同所、総合事務棟新築
平成１０年　８月　　同所、分析棟新築
平成１２年　１月　　同所、メタル炉系荷造設備新設
平成１２年　３月　　ＩＳＯ１４００１認証取得
平成１２年　８月　　日本アトマイズ加工㈱（千葉県野田市）の発行済株式の55％を取得し、子会社化
平成１５年　６月　　ＩＳＯ９００１認証取得
平成１５年　６月　　住友金属鉱山㈱より酸化アンチモンの営業権を取得
平成１６年　６月　　超高純度三酸化アンチモン製造装置完成
平成２０年　６月　　日本アトマイズ加工㈱を完全子会社化
平成２１年　７月　　中瀬製錬所、技術棟新築
平成２４年　４月　　日本アトマイズ加工㈱つくば工場竣工
平成２５年　７月　　中国に日銻精礦（上海）商貿有限公司を設立
平成２９年１０月　　５株を１株の割合で株式併合　発行済株式総数 2,605,900株
 
