 
２ 【沿革】
1941年９月　　株式会社伊豫合同銀行設立(今治商業銀行、松山五十二銀行、豫州銀行合併)
1944年12月　　株式会社伊豫相互貯蓄銀行を合併
1951年11月　　商号を株式会社伊豫銀行と改称
1952年10月　　現本店竣工
1968年６月　　本店別館竣工
1969年10月　　大阪証券取引所市場第２部に上場
1970年８月　　大阪証券取引所市場第１部に指定替え
1971年４月　　東京証券取引所市場第１部に上場
1974年９月　　いよぎんリース株式会社設立
1975年１月　　株式会社アイ・シー・エス(現　株式会社いよぎんコンピュータサービス)設立
1978年９月　　いよぎん保証株式会社設立
1978年10月　　事務センター竣工
1979年12月　　いよぎんビジネスサービス株式会社設立
1983年４月　　公共債の窓口販売業務開始
1983年10月　　バンクカード業務開始
1985年６月　　公共債ディーリング業務開始
1985年８月　　いよぎんキャピタル株式会社設立
1988年４月　　株式会社いよぎん地域経済研究センター設立
1988年７月　　いよぎんモーゲージサービス株式会社設立
1988年８月　　株式会社いよぎんディーシーカード設立
1989年９月　　いよぎんスタッフサービス株式会社設立
1990年９月　　商号を株式会社伊予銀行と改称
1992年４月　　株式会社東邦相互銀行を合併
1994年１月　　信託業務開始
1996年１月　　いよぎん資産管理株式会社設立
1996年９月　　研修所竣工
1998年12月　　証券投資信託の窓口販売業務開始
1999年10月　　富士貯蓄信用組合を合併
2001年４月　　損害保険商品の窓口販売業務開始
2002年10月　　生命保険商品の窓口販売業務開始
2003年７月　　いよベンチャーファンド１号投資事業有限責任組合設立
2005年３月　　証券仲介業務開始
2005年12月　　いよベンチャーファンド２号投資事業有限責任組合設立
2008年３月　　いよベンチャーファンド３号投資事業有限責任組合設立
2008年10月　　銀行本体発行クレジットカードの取扱開始
2011年12月　　いよぎんモーゲージサービス株式会社清算
2012年２月　　いよぎん証券株式会社(現　四国アライアンス証券株式会社)設立
2012年２月　　いよぎん資産管理株式会社清算
2012年12月　　いよぎんスタッフサービス株式会社清算
2013年２月　　いよベンチャーファンド１号投資事業有限責任組合清算
2013年４月　　いよエバーグリーン６次産業化応援ファンド投資事業有限責任組合設立
2014年９月　　いよエバーグリーン農業応援ファンド投資事業有限責任組合設立
2014年10月　　いよエバーグリーン事業承継応援ファンド投資事業有限責任組合設立
2015年７月　　いよベンチャーファンド４号投資事業有限責任組合設立
2016年２月　　いよぎん愛媛大学発ベンチャー応援ファンド投資事業有限責任組合設立
2016年２月　　いよベンチャーファンド２号投資事業有限責任組合清算
2018年１月　　いよベンチャーファンド５号投資事業有限責任組合設立
2018年２月　　いよベンチャーファンド３号投資事業有限責任組合清算
　
