２【沿革】
1953年４月　　地質調査、基礎工事を主たる目的として北海道札幌市に八千代地下工業株式会社を設立
1957年１月　　本店を東京都港区に移転
1959年12月　　商号を日本特殊土木工業株式会社に変更
1961年12月　　本店を東京都千代田区に移転
1962年12月　　株式額面金額変更のため、日本特殊土木工業株式会社（1947年12月設立の株式会社光商会の商号及び営業目的を変更）に吸収合併
1963年２月　　建設コンサルタント部門を独立し、東京工務エンジニアリング株式会社（株式会社日本パブリックに改称）を設立
1965年３月　　本店を東京都中央区に移転
1972年５月　　商号を日特建設株式会社に変更
1972年10月　　建設大臣許可（特－47）第211号を受ける
1979年12月　　緑興産株式会社を設立（現・連結子会社）
1983年12月　　東京証券取引所市場第二部へ上場
1985年４月　　日特不動産株式会社を設立
1985年９月　　東京証券取引所市場第一部へ上場
1985年10月　　株式会社日特リース情報センター（株式会社ハイテクリースに改称）を設立
1990年５月　　ドーム建設工業株式会社を設立（非連結子会社）
1990年６月　　明石町分室ビル完成
2001年３月　　日特不動産株式会社（連結子会社）を清算
2003年11月　　株式会社日本パブリック（連結子会社）を清算
2004年10月　　島根アースエンジニアリング株式会社を設立（現・連結子会社）
2009年３月　　株式会社ハイテクリース（連結子会社）を清算
2010年５月　　宅地建物取引業の許可、東京都知事免許(1)91766号取得
2010年９月　　ドーム建設工業株式会社（非連結子会社）を清算
2013年12月　　山口アースエンジニアリング株式会社を設立（現・連結子会社）
2015年９月　　明石町分室ビルを売却
2016年３月　　PT NITTOC CONSTRUCTION INDONESIAを設立（現・連結子会社）
2019年１月　　愛媛アースエンジニアリング株式会社を設立（現・連結子会社）
 
