２【沿革】
1943年６月　　國峯鉱業株式会社として当社設立
1949年12月　　月布川鉱業株式会社を吸収合併（左沢工場、月布鉱業所を取得）、ベントナイト鉱石採掘、同製品製造開始
1956年３月　　茨城県常陸太田市に太田工場を開設
1963年１月　　左沢工場で農薬製剤の加工開始
1967年８月　　宮城県刈田郡に蔵王工場を開設、カルシウム型ベントナイトの製造販売開始
1970年４月　　宮城県に川崎鉱業株式会社を設立（資本金 1百万円、出資比率 50.0％）
1970年５月　　左沢工場、太田工場で農薬基剤の製造開始
1971年11月　　蔵王工場で活性化ベントナイト（ネオクニボンド）の製造開始
1973年11月　　左沢工場内に粘土鉱物の研究開発のため研究室を設置、月布鉱業所の原鉱石を利用した精製ベントナイトの商品化（クニピア）に成功
1978年６月　　クニミネ工業株式会社に商号変更
1980年８月　　栃木県黒磯市に研究所を完成、左沢工場内の研究室を移転
1983年３月　　福島県常磐鹿島工業団地内にいわき事業所を開設
1986年６月　　福島県小名浜臨海工業団地内に小名浜工場を開設、農薬製剤の加工開始
1989年６月　　当社の株式、社団法人日本証券業協会東京地区協会へ登録される
1990年５月　　愛知県宝飯郡に御津工場を開設、ベントナイトの製造開始
1992年12月　　米国テキサス州にTRANS WORLD PROSPECT CORPORATIONを設立（資本金 1,400千米ドル、出資比率 71.4％）
1994年７月　　鉱山部門を独立させ、クニマイン株式会社を設立（資本金 250百万円、出資比率 100.0％）
2000年３月　　川崎鉱業株式会社の株式を 100.0％取得
2004年12月　　日本証券業協会への店頭登録を取消し、ジャスダック証券取引所に株式を上場
2008年４月　　関東ベントナイト鉱業株式会社及び関ベン鉱業株式会社の株式を100.0％取得し、子会社化
2010年４月　　ジャスダック証券取引所と大阪証券取引所の合併に伴い、大阪証券取引所ＪＡＳＤＡＱに上場
2012年１月　　ＢＡＳＦジャパン株式会社より郡山工場を取得
2013年７月　　東京証券取引所と大阪証券取引所の統合に伴い、東京証券取引所ＪＡＳＤＡＱ（スタンダード）に上場
2015年１月　　タイにKUNIMINE(THAILAND)CO.,LTD.を設立（資本金 4,000千タイバーツ、出資比率 49.0％）
2015年３月　　東京証券取引所ＪＡＳＤＡＱ（スタンダード）から東京証券取引所市場第二部へ市場変更
2016年４月　　関東ベントナイト鉱業株式会社を、クニミネマーケティング株式会社と商号を変更
2018年３月　　東京証券取引所市場第一部に指定
 
