edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	csr_title	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E00004	13760	5070001000715	カネコ種苗株式会社	2018	FY	2019-08-28	2018-06-01	2019-05-31	S100GUI8	有価証券報告書－第72期(平成30年6月1日－令和1年5月31日)																																1600.0	1725.0	1208.0	1405.0	1494.4166666666667
E00006	13770	6020001008662	株式会社　サカタのタネ	2018	FY	2019-08-27	2018-06-01	2019-05-31	S100GUE8	有価証券報告書－第78期(平成30年6月1日－令和1年5月31日)																																3800.0	4475.0	3060.0	3765.0	3864.1666666666665
E00008	13790	6100001003151	ホクト株式会社	2018	FY	2019-06-21	2018-04-01	2019-03-31	S100G4GA	有価証券報告書－第56期(平成30年4月1日－平成31年3月31日)			1	1	1	12	3.335904E7	7.0183002E10	3.50300006E9	4.6099999E9	3.188E9	1.03606002E11	5.2030001E10	5.2030001E10	1.90300006E9	60.0	99.87	1642.24			1.02081004E11	5.2265001E10	5.2265001E10		6.1	4.52	4.99	6.57	50.22	59.69	3.64	2028.0	2150.0	1821.0	1918.0	1932.0
E00009	13810	5340001000258	株式会社アクシーズ	2018	FY	2019-09-19	2018-07-01	2019-06-30	S100GZGY	有価証券報告書－第57期(平成30年7月1日－令和1年6月30日)																																4775.0	4785.0	2101.0	2298.0	3199.4166666666665
E00010	13820	9450001002677	株式会社ホーブ	2018	FY	2019-09-27	2018-07-01	2019-06-30	S100H07G	有価証券報告書－第33期(平成30年7月1日－令和1年6月30日)																																988.0	1013.0	769.0	845.0	917.75
E00011	19110	4010001090011	住友林業株式会社	2018	FY	2019-06-21	2018-04-01	2019-03-31	S100G299	有価証券報告書－第79期(平成30年4月1日－平成31年3月31日)			1	1	3	12	1.8269864E8	1.30889299E12	4.9246999E10	5.1435999E10	2.91599995E10	9.70976E11	3.53488994E11	3.18319985E11	7.296E9	40.0	160.8	1755.06			9.3732897E11	3.4956401E11	3.14978501E11		9.26	5.49	3.76	3.93	32.78	25.02	2.09	1707.0	2004.0	1360.0	1537.0	1662.6666666666667
E00012	13010	1010401033225	株式会社　極洋	2018	FY	2019-06-25	2018-04-01	2019-03-31	S100G2KO	有価証券報告書－第96期(平成30年4月1日－平成31年3月31日)			1	1	1	12	1.0928283E7	2.56150995E11	3.83100006E9	4.4339999E9	2.91399987E9	1.14673E11	3.19960003E10	3.18210007E10	7.6E8	70.0	269.63	2941.26			1.10489002E11	3.06195005E10	3.03549993E10		9.6	4.01	1.5	1.73	27.75	26.08	2.48	3800.0	3870.0	2581.0	2836.0	3247.5
E00014	13320	1010001016860	日本水産株式会社	2018	FY	2019-06-26	2018-04-01	2019-03-31	S100G50V	有価証券報告書－第104期(平成30年4月1日－平成31年3月31日)			1	1	1	12	3.12430272E8	7.1211103E11	2.16850002E10	2.53580001E10	1.53790003E10	4.7791299E11	1.66157992E11	1.46324996E11	2.492E9	8.0	49.41	470.28			4.81267515E11	1.61631994E11	1.42019494E11		10.83	5.27	3.05	3.56	30.62	16.2	1.54	550.0	863.0	515.0	845.0	555.5
E00015	13330	2010601040697	マルハニチロ株式会社	2018	FY	2019-06-26	2018-04-01	2019-03-31	S100G1Q8	有価証券報告書－第75期(平成30年4月1日－平成31年3月31日)			1	1	1	12	5.2656912E7	9.2246802E11	2.17579991E10	2.52330004E10	1.66950001E10	5.20317993E11	1.50379004E11	1.25353001E11	2.10499994E9	40.0	317.24	2381.96			5.18580503E11	1.45213997E11	1.20406E11		13.87	4.87	2.36	2.74	24.09	12.61	1.45	3365.0	4580.0	3365.0	3960.0	3685.0
E00017	13520	9010001034921	株式会社ホウスイ	2018	FY	2019-06-24	2018-04-01	2019-03-31	S100G4CT	有価証券報告書－第84期(平成30年4月1日－平成31年3月31日)			1	1	26	12	8379000.0	7.6880003E10	6.51E8	5.24E8	3.35E8	4.1689002E10	6.72E9	6.0940001E9	1.67E8	20.0	40.1	727.87			3.7580001E10	6.6E9	6.0224998E9		5.56	1.39	0.85	0.68	14.62	49.85	2.53	1150.0	1196.0	659.0	825.0	991.0833333333334
E00021	57110	6010001023786	三菱マテリアル株式会社	2018	FY	2019-06-21	2018-04-01	2019-03-31	S100FX0A	有価証券報告書－第94期(平成30年4月1日－平成31年3月31日)	三菱マテリアル株式会社	http://csr-toshokan.net/ln_book/mmcir-2019/download.pdf	1	1	13	12	1.31489536E8	1.66299002E12	3.6861002E10	5.0679001E10	1.298E9	1.93827006E12	7.2333702E11	6.3358199E11	1.04760003E10	80.0	9.92	4838.31			1.97667704E12	7.4591601E11	6.5802653E11		0.2	2.56	2.22	3.05	32.69	807.09	1.4	3180.0	3495.0	2778.0	2922.0	3106.8333333333335
E00023	57130	9010401015273	住友金属鉱山株式会社	2018	FY	2019-06-25	2018-04-01	2019-03-31	S100G7YI	有価証券報告書－第94期(平成30年4月1日－平成31年3月31日)			1	1	13	12	2.90814016E8	9.1220797E11		8.9371001E10	6.6789999E10	1.79770098E12	1.15127996E12	1.04756098E12	2.00600003E10	73.0	243.06	3812.26			1.76501699E12	1.13231449E12	1.03847297E12		6.43	5.06		9.8	58.27	30.03	1.77	4492.0	4902.0	2743.0	3270.0	3681.2916666666665
E00024	57060	7010701011370	三井金属鉱業株式会社	2018	FY	2019-06-27	2018-04-01	2019-03-31	S100G91O	有価証券報告書－第94期(平成30年4月1日－平成31年3月31日)			1	1	13	12	5.7296616E7	4.97700995E11	1.82220001E10	1.77550008E10	4.6909998E9	5.23314987E11	1.79673006E11	1.70054992E11	3.99699994E9	70.0	82.15	2977.84			5.22866491E11	1.79162497E11	1.69124004E11		2.77	3.4	3.66	3.57	32.5	85.21	2.23	4860.0	5600.0	2008.0	2839.0	3432.25
E00026	57290	2011101016386	日本精鉱株式会社	2018	FY	2019-06-28	2018-04-01	2019-03-31	S100GD1A	有価証券報告書－第124期(平成30年4月1日－平成31年3月31日)			1	2	13	12	2605900.0	1.40830003E10	1.252E9	1.222E9	8.29E8	1.17459999E10	7.2060001E9	7.2060001E9	1.83E8	75.0	339.93	2952.22			1.17830001E10	6.8934999E9	6.8934999E9		12.03	10.37	8.89	8.68	61.35	22.07	2.65	3700.0	3760.0	1831.0	2280.0	2725.75
E00027	14910	7010001008720	中外鉱業株式会社	2018	FY	2019-06-28	2018-04-01	2019-03-31	S100GCZI	有価証券報告書－第127期(平成30年4月1日－平成31年3月31日)			1	2	13	12	2.89747968E8	2.64569999E10	5.93E8	5.32E8	1.23E8	7.7949998E9	6.6989998E9	6.6889999E9	0.0	0.0	0.43	23.1			7.5574999E9	6.5020001E9	6.6275E9		1.86	7.04	2.24	2.01	85.81	0.0	0.0	25.0	30.0	14.0	20.0	20.166666666666668
